item_group,item_category,item,item_group,item_category,item,item_code
BARANGAN KERING,KACANG,KACANG SOYA (IMPORT),1,1,1,1
BARANGAN KERING,KACANG,KACANG TANAH (IMPORT),1,1,1,1
BARANGAN KERING,UBI KENTANG,UBI KENTANG HOLLAND,1,1,1,1
BARANGAN KERING,UBI KENTANG,UBI KENTANG IMPORT (CHINA),1,1,1,1
BARANGAN KERING,UBI KENTANG,UBI KENTANG RUSSET,1,1,1,1
BARANGAN SEGAR,AYAM,AYAM BELANDA IMPORT,1,1,1,1
BARANGAN SEGAR,AYAM,AYAM BERSIH - STANDARD,1,1,1,1
BARANGAN SEGAR,AYAM,AYAM BERSIH - SUPER,1,1,1,1
BARANGAN SEGAR,AYAM,AYAM HIDUP,1,1,1,1
BARANGAN SEGAR,AYAM,DADA AYAM (CHICKEN KEEL) (1KG),1,1,1,1
BARANGAN SEGAR,AYAM,KEPAK AYAM (CHICKEN WING) (1KG),1,1,1,1
BARANGAN SEGAR,AYAM,PAHA AYAM (CHICKEN DRUMSTICK),1,1,1,1
BARANGAN SEGAR,AYAM,THIGH AYAM,1,1,1,1
BARANGAN SEGAR,AYAM,WHOLE LEG AYAM,1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN BAWAL PUTIH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN DEMUDUK/CUPAK/CERMIN (b	$ 3 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN JENAHAK (KEPINGAN),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN KERISI (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN MABUNG (ANTARA 6 HINGGA 10 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN MERAH (KEPINGAN),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN PARANG (KEPINGAN),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN PARI (KEPINGAN),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN TENGGIRI BATANG (KEPINGAN),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN TERUBOK (b	$ 4 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,KEPALA IKAN JENAHAK,1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,KEPALA IKAN MERAH,1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,KERANG (SAIZ SEDERHANA),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,KETAM RENJONG/BUNGA (ANTARA 5 HINGGA 8 EKOR SEKILOGRAM),1,1,1,1
BARANGAN SEGAR,BAHAN LAUT,SOTONG (≥ 6 EKOR SEKILOGRAM),1,1,1,1
